epoch,learning_rate,train_loss,train_pose_loss,train_center_loss,train_scale_loss,val_loss,val_pose_loss,val_center_loss,val_scale_loss,val_mae,val_mse,val_mpjpe,val_pck_005,best_val_mpjpe,patience_count,epoch_sec
1,0.0003,0.17679072228932213,0.11256385974389971,0.04912823201238143,0.19831372998622723,0.2232738351797349,0.15243962844633713,0.04820540349653238,0.23365752033343487,0.07820155754768697,0.014353460797486006,0.12619693062171475,0.24660551448871315,0.12619693062171475,0,4.6820948123931885
2,0.0003,0.15610497603360443,0.09885560024501452,0.042066128255243695,0.18108155356640623,0.21856609446296063,0.14999238074277388,0.047578179049786486,0.2239231119597088,0.07773875663011486,0.01543209929990265,0.12455660183224898,0.3004894576792499,0.12455660183224898,0,3.931795120239258
3,0.0003,0.14468277658105907,0.09206750662672018,0.03906998152481742,0.1654013916971922,0.21758020274663328,0.1483872089273055,0.0505348050653952,0.21962796704458398,0.0792817775511889,0.014392433653246677,0.12485005403834604,0.2471850092480878,0.12455660183224898,1,4.730268716812134
4,0.0003,0.13908358875640492,0.08869791265687281,0.036466085473420236,0.16076316479031427,0.2170936581789658,0.1447291975623371,0.05038561264261774,0.23585827308004131,0.07988953871187233,0.014104971545440164,0.12595734382489387,0.223193995108229,0.12455660183224898,2,4.171212434768677
5,0.0003,0.12596344633377624,0.08024680371278149,0.033169498956471935,0.14565946254782325,0.26550739373168936,0.1870762331553174,0.0573247412384591,0.24884394560010337,0.08907456439132022,0.018708027096174244,0.14541066949789788,0.2369680989464615,0.12455660183224898,3,3.940612554550171
6,0.0003,0.12505554719835685,0.08106388757039945,0.030620868133788868,0.1434061281018649,0.2086564146637671,0.1414521314273883,0.04151686871378833,0.23222923634788084,0.07059301343664558,0.01241382838192057,0.11449848639768655,0.31511943109271046,0.11449848639768655,0,4.4459733963012695
7,0.0003,0.1129303182994024,0.07376505849960213,0.028274992430203025,0.125138815059888,0.21039843769696362,0.14026919693340006,0.04801823221811234,0.23060062631556974,0.07605290709040943,0.014152051446667294,0.12190071839941148,0.23485517685903579,0.11449848639768655,1,4.407101631164551
8,0.0003,0.1109535875098213,0.07310717381394084,0.02726724461248216,0.12106395410258897,0.21742281613629788,0.14634246370149873,0.047486115837753015,0.23668646478379393,0.07636465753008598,0.014034243200273506,0.12473942391151328,0.2516604800453499,0.11449848639768655,2,3.9749248027801514
9,0.0003,0.10357431238715142,0.06849538004799727,0.026166446843122644,0.10997854213609513,0.21729007908029394,0.14643949311183863,0.050464545029442115,0.22809156418618262,0.07623600124409705,0.013816642137115564,0.12437803971395664,0.24835290901623744,0.11449848639768655,3,4.351909160614014
10,0.0003,0.09970377814464944,0.06610997962295097,0.025507521562104382,0.1042001866954954,0.2093424771630999,0.13963697187243032,0.04528507392028214,0.23531483936201092,0.07300838267813714,0.013733878740769567,0.11969024737325266,0.2842369055160094,0.11449848639768655,4,4.6481311321258545
11,0.00015,0.09666031985362997,0.06517755253991117,0.023553903993112257,0.09852907192380109,0.21689895984354213,0.1467847523793784,0.04593369317610638,0.2357367851008875,0.07411048304213956,0.013381524314809613,0.1210396374217129,0.2698298139247203,0.11449848639768655,5,4.0210278034210205
12,0.00015,0.08553340852867534,0.05892236013825464,0.020314997765389968,0.08226774685429272,0.21606076603235305,0.14588085282073368,0.046708589425750534,0.23412809245426466,0.07438833325680441,0.013505150434961387,0.12206718009529692,0.25676001663719533,0.11449848639768655,6,4.104491949081421
13,0.00015,0.08076826262827594,0.05593423413338979,0.019171742069483317,0.07624078650064617,0.2320644431239228,0.15573759413225383,0.048513745576160804,0.2603498798550911,0.07778343846558403,0.014088631799391401,0.12710458255929433,0.2315654395436953,0.11449848639768655,7,4.779364109039307
14,0.00015,0.07771377553752154,0.05402202122838249,0.018397927010118723,0.07246395300282435,0.2448599744203442,0.166713839772213,0.048716741663089536,0.26893882420561743,0.07940413683617806,0.014896427597669721,0.13064313615269785,0.2387600691737533,0.11449848639768655,8,3.9423890113830566
15,0.00015,0.0760784759005537,0.05311728743231277,0.017978403740815163,0.06985993175575615,0.2368273772529449,0.16144860578823103,0.04737246241261588,0.2584626857025829,0.07634675213653364,0.013960215090449311,0.12541200017606416,0.2459279549677746,0.11449848639768655,9,3.948998212814331
16,7.5e-05,0.07445084020247321,0.0525792716592949,0.01707848746474083,0.06666162371041782,0.24673656245984552,0.17086609077693857,0.047978616800465,0.2594058231225116,0.07841814307166604,0.01469592120696794,0.12887526970552887,0.24420730661349846,0.11449848639768655,10,4.850796222686768
17,7.5e-05,0.06968124436445217,0.049521693675465224,0.015984678397574538,0.060836055562048554,0.23459674042045947,0.1615930757506976,0.04591016166370278,0.25024291436771817,0.07601671919301174,0.014185154400645337,0.12521310573677766,0.26168125047819446,0.11449848639768655,11,4.007550001144409
18,7.5e-05,0.06820702731777695,0.048851703419468456,0.015366244106439277,0.05836100880761584,0.2611295014584755,0.1826636768125653,0.047296691313276365,0.27408739347936967,0.07916581067584058,0.015216194716849093,0.1309947235009431,0.2506441341608403,0.11449848639768655,12,3.997337579727173
