epoch,train_loss,train_raw_loss,train_aux_loss,val_loss,val_raw_loss,val_aux_loss,val_mae,val_mse,val_mpjpe,val_pck_005,learning_rate
1,0.10503764051162631,0.07438908017683352,0.15324279786782152,0.11076795264846194,0.07844733695627557,0.1616030758130056,0.08573285230961783,0.017262667951276282,0.14103606612884356,0.21676607924823413,0.0003
2,0.08744251899785603,0.060721715173201025,0.13360401628403568,0.1281441850771305,0.08850966991923002,0.1981725726626259,0.09583757300215912,0.021781163188215387,0.15856272998838855,0.19559229335852601,0.0003
3,0.08004527931756883,0.05478105179869138,0.12632113459565866,0.10144599033703205,0.07024946707325776,0.15598261469131744,0.07773803718548096,0.015527650689808681,0.13035143193522775,0.24671249793391434,0.0003
4,0.07540875630099085,0.051133083528198744,0.12137836129607427,0.12106128546613987,0.08484494342203174,0.18108170407090723,0.09214676899720936,0.02125495312054277,0.15504906483040587,0.20940205788557129,0.0003
5,0.0730803063452483,0.04926864508502335,0.11905830510994009,0.11649318277467591,0.08129037977378485,0.1760140088811258,0.08854811332810798,0.02005198101421846,0.1499739167847399,0.21685523106698762,0.0003
6,0.06980302035631353,0.04666329607405173,0.11569861964696014,0.115952803047221,0.07953205340160767,0.1821037422658486,0.08683208995626127,0.01974882257493472,0.14592260352458347,0.2367363020878534,0.0003
7,0.06843066653002775,0.04561954189517779,0.11405562001603203,0.1008798622074952,0.06929575740440554,0.15792051815515792,0.07656941239352996,0.0165363210931565,0.12884201041019183,0.2860199639660825,0.0003
8,0.06674746511014235,0.044287517227113944,0.11229973866310626,0.10325782875184909,0.07207774617288631,0.15590041021400777,0.07948069466444001,0.016562995474558695,0.13249471216788886,0.26236772653516616,0.0003
9,0.0650183355669148,0.042945998927800676,0.11036168107070983,0.11816652694776782,0.08104901066174329,0.18558757988915228,0.08835898916242262,0.02031479356687151,0.14837860897573593,0.23259069890312128,0.0003
10,0.06437174465340581,0.04252427038992073,0.10923737073650824,0.1005472936378433,0.07065327508278053,0.14947009473495465,0.07804590902255892,0.01688188863668846,0.1319245094190664,0.28182977975285045,0.0003
11,0.06306921874668758,0.04153562795026919,0.10766795217233302,0.09629151600359047,0.06691199082746405,0.1468976220205343,0.07429732671859651,0.015227241570387002,0.12399566903486782,0.31326505249499326,0.0003
12,0.06167367863605471,0.04050415058934407,0.10584763868573305,0.10767952368325365,0.07321676025542487,0.17231381435312218,0.0806343007956613,0.017608519325158323,0.13655712857741614,0.2828817815563983,0.0003
13,0.060823048356828,0.03985922123560655,0.10481913429198302,0.10208999021425427,0.06960680806599985,0.162415911043767,0.07705321817467864,0.016192080835814807,0.12992234813900477,0.29005858242165417,0.0003
14,0.059714574713475355,0.03903153650014064,0.10341518835148132,0.09843857960337644,0.0680928083860583,0.15172885281175472,0.0755124837817708,0.015689171804649474,0.12599663404409728,0.30167519055289377,0.0003
15,0.0589612501338224,0.03860137583993866,0.10179936980641188,0.10142679617277978,0.06830073664007064,0.16563029210027017,0.07578398314915394,0.015514757943693927,0.12709986710239768,0.29966033605086556,0.0003
16,0.05759028455438277,0.037583386819293,0.1000344873513565,0.10367837126516671,0.07033007105340604,0.1667415021131515,0.07775964288719965,0.016562398073459925,0.1310754707628364,0.30860236400771784,0.00015
