label,rx,start,rssi_mean,rssi_std,amp_mean,amp_std_time,subcarrier_var_mean,subcarrier_std_mean,temporal_diff_mean_abs,temporal_diff_std,window_var,spectral_total_power,low_band_ratio,mid_band_ratio,dominant_freq_idx,corr_mean_abs,spectral_entropy,peak_to_peak,skewness,kurtosis
skeleton,RX1,0,-37.29,1.608073381410189,11.75936545564955,0.8919723000367596,21.09697772223115,4.450147390296441,0.21096865778389565,0.4888015491256357,0.7956145840328674,0.7956145840328674,0.5233135965768395,0.43820382633522825,0.0234375,0.6399662492697276,5.00263447088512,6.152198505206665,-3.587358131473452,16.1198573885648
skeleton,RX2,0,-39.57,0.5874521257089808,12.040898261510652,1.2735981293559688,33.32914156135177,5.6865037380891,0.27639015020349905,0.5395700880431126,1.622052195099023,1.622052195099023,0.7170508733991896,0.26184140825376484,0.015625,0.6087744848256788,4.193457428965114,7.255675074486248,-1.5755650049192496,4.238649067577898
skeleton,RX3,0,-34.53,1.3450278807519196,12.311369845373841,1.0467157593721692,20.768630127878918,4.415841244093499,0.3234888217866575,0.5993344670666235,1.0956138809180571,1.0956138809180571,0.5699635757305358,0.398171278669325,0.0234375,0.6672379085349137,4.8763751701177105,7.28498217491299,-2.5704101915209816,9.886245742202377
skeleton,RX1,100,-38.14,1.8111874557869485,11.683580211124204,0.8494014482375324,18.895194826098546,4.194021689880345,0.2992626344769924,0.5350270176423393,0.7214828202680175,0.7214828202680175,0.37829182890489105,0.5796554928544018,0.1015625,0.529157203599957,5.125892738471068,5.72042010018858,-3.3786888167695537,15.000173738663083
skeleton,RX2,100,-38.79,1.098134782255803,11.610309874378334,0.9485926729680185,31.30542945670935,5.538939876750248,0.2896058009876074,0.5960177487567283,0.8998280592086101,0.8998280592086101,0.5920232858107319,0.3866041857465763,0.046875,0.5760503837882005,4.715215230713971,5.509807670819368,-0.25673129869877964,2.669966383982338
skeleton,RX3,100,-33.86,1.7379298029552288,12.646408901077317,0.8499157065038236,15.493489762735248,3.745190692855939,0.3038335793306612,0.6016674817254392,0.7223567081618937,0.7223567081618937,0.34321279172926894,0.613075055270497,0.046875,0.5111117520163478,5.119662789994953,5.996527114771788,-3.242410278981362,15.163809644697011
skeleton,RX1,200,-38.61,1.5677691156544704,11.170842293465224,0.8832974440634845,19.77858509574663,4.293548967804138,0.32708226716670286,0.5537283285460999,0.7802143746890847,0.7802143746890847,0.4943817158648032,0.457745051886225,0.0078125,0.5837621311070718,4.930056198552977,6.2142412251588635,-2.516735578060001,11.263867034097547
skeleton,RX2,200,-37.37,1.3465140177510222,11.461991300807377,0.9162258487847076,24.96189353316599,4.922823719725013,0.30179068679078935,0.5660914327641474,0.8394698059812578,0.8394698059812578,0.5027514127551902,0.4658020144967637,0.0078125,0.5703519467611086,4.905676008834824,6.5066538741318,-1.7785347738849142,7.963303361250187
skeleton,RX3,200,-33.54,1.519341962824696,13.123354020275103,1.08294881732803,18.539874023927105,4.190935386480171,0.2791110141485957,0.5880816355757786,1.1727781409521787,1.1727781409521787,0.5780594069132928,0.39091511168129756,0.0234375,0.5612749276674784,4.855909848394641,6.505419527351084,-2.608789484987571,9.25227449525547
skeleton,RX1,300,-38.63,1.700911520332554,11.590707159401848,0.884599391059986,18.92082824210075,4.232469081903938,0.2810044794627516,0.5509411048554854,0.782516082663698,0.782516082663698,0.46468196340204215,0.4961711534464682,0.0078125,0.5773590943978533,5.011617901288885,6.446139784004103,-2.5738825387162323,11.72545628980725
skeleton,RX2,300,-37.48,1.4593149077563758,12.614911857230668,0.9228865256282962,23.885908208888722,4.789407807919552,0.26901919659154344,0.5701544723802727,0.8517195391862679,0.8517195391862679,0.48721317200524766,0.4774118799163447,0.0234375,0.47503660781270185,5.025536844397294,5.578101613961678,-2.749019534721412,10.24416427969521
skeleton,RX3,300,-32.74,1.0919706955774957,12.411289393732394,0.8844019318786752,18.817757858639606,4.213172439477776,0.3033358570624097,0.5692303678293288,0.7821667771107329,0.7821667771107329,0.43098911691000147,0.5260786351934784,0.0234375,0.545801120472167,4.896301752463868,6.0527435484220184,-3.2691605986024466,14.133803694291174
