label,rx,start,rssi_mean,rssi_std,amp_mean,amp_std_time,subcarrier_var_mean,subcarrier_std_mean,temporal_diff_mean_abs,temporal_diff_std,window_var,spectral_total_power,low_band_ratio,mid_band_ratio,dominant_freq_idx,corr_mean_abs,spectral_entropy,peak_to_peak,skewness,kurtosis
skeleton,RX1,0,-42.09,1.0871522432483869,12.895841941215439,0.9416452813239491,14.298867530162934,3.6463549427708517,0.27444676470930035,0.573051465059284,0.8866958358396596,0.8866958358396596,0.4642402515900548,0.4927377093881066,0.0078125,0.44989964010276906,4.910505678222557,6.162094609875434,-3.6071893144479894,16.09146347121558
skeleton,RX2,0,-36.77,2.0042704408337717,11.88418564385187,0.9374034934059893,20.054405198325824,4.37747541302198,0.2537513865699801,0.5351288744421269,0.8787253094497526,0.8787253094497526,0.5722322769931861,0.3949737718102835,0.0390625,0.5566168824202612,4.931359578705079,5.885909397303254,-2.360161595200625,8.574463255765513
skeleton,RX3,0,-31.05,0.9937303457175894,12.805741854485335,1.1011171276193277,13.615996587891637,3.5391589365500136,0.2815927278470292,0.5755117057364643,1.212458928736639,1.212458928736639,0.6188734510348585,0.35062859192138757,0.015625,0.5994961751708444,4.8272227684176485,6.912161482335513,-2.07691625785389,7.500147574841234
skeleton,RX1,100,-41.56,1.022936948203554,12.763142607873156,0.9489869411535841,11.57692300860864,3.3366448743596275,0.285354298632925,0.5679973897658501,0.900576214480036,0.900576214480036,0.4885170187705258,0.47062076988451373,0.0625,0.4453414339360424,5.10905980996998,6.4726145934745025,-3.5419650970325818,16.060638619489158
skeleton,RX2,100,-36.71,1.9508716000803332,11.781595619684117,0.8323985691746715,19.2219126599109,4.287833717366682,0.24818552515154282,0.5216739110442188,0.6928873779640405,0.6928873779640405,0.44004406331686374,0.5192714291188633,0.0703125,0.5354996926274125,5.162682548840877,5.780085192995321,-3.5408124209620944,16.488487539722456
skeleton,RX3,100,-31.05,0.7533259586659681,12.66675082583251,0.9758114785974554,10.207417859293555,3.100682549871597,0.2504145395470031,0.5397262768594039,0.9522080417625522,0.9522080417625522,0.5521651105879215,0.4123375687622837,0.0234375,0.5256876223535115,4.5969080333372645,6.760999105096025,-2.995150728591887,13.024050110758093
skeleton,RX1,200,-41.72,1.105260150371848,12.683391748903189,0.8379477383788543,11.288823328319474,3.282011864451082,0.290855489934878,0.567003839487675,0.7021564122542366,0.7021564122542366,0.45791114307353764,0.4988511250338049,0.0390625,0.42234458367714434,5.000770811263276,5.622973822285749,-3.4884590282785752,15.85635774419858
skeleton,RX2,200,-36.78,1.9978988963408537,11.704520892666455,0.8911582604440724,19.38616879457809,4.339226836432357,0.24216685754921363,0.4958991558971584,0.7941630451577055,0.7941630451577055,0.5168407825075967,0.444342802221974,0.0234375,0.5413080179722265,5.06721740674501,6.1736172459140795,-3.3734318552512725,15.052568110040468
skeleton,RX3,200,-31.38,0.8219489035213807,12.401901288043051,0.9920806685899295,12.64348047295638,3.468534845913877,0.2399577560479877,0.5325141218067695,0.9842240529898413,0.9842240529898413,0.5824937697744962,0.3881568764962136,0.0078125,0.6052660124795469,4.7377616368263755,6.510174727064673,-1.9031087063400807,7.950563696837117
skeleton,RX1,300,-42.02,0.9897474425326898,12.752773497338415,0.8886460944422245,13.458045332887387,3.554513687867913,0.31979714729888276,0.589364405546627,0.789691881167419,0.789691881167419,0.48801570632434305,0.47400807439427717,0.03125,0.45779748293626726,5.113993228707951,6.015416198981624,-2.763152364471379,11.996663009210693
skeleton,RX2,300,-37.51,1.8681274046488372,11.955676932962659,0.7964154923573685,18.454480704157007,4.217569599013417,0.21796685399783824,0.5152302609546955,0.6342776364668297,0.6342776364668297,0.37538271818890506,0.5766484384083573,0.0703125,0.5239942422001035,5.189847732080167,5.777494361295903,-4.362766806889745,21.875284681588354
skeleton,RX3,300,-31.6,0.8831760866327847,12.86853551944021,0.9714244824398954,13.210249544312411,3.5150250035977213,0.26657211016224164,0.5859431227710805,0.943665525083619,0.943665525083619,0.4931692547253985,0.46901970715656205,0.0390625,0.5549892053684592,5.024149324919554,6.309076715305528,-2.9439971651558454,11.989436046504837
skeleton,RX1,400,-42.8,1.2727922061357853,12.482257530830568,0.8421308036509879,14.47970689841905,3.7098166614150356,0.3014212083690129,0.5715899351986463,0.7091842904578587,0.7091842904578587,0.4779841276454726,0.48375102397429126,0.046875,0.4162008024572258,5.150276689258007,5.717881458561228,-2.451461751872843,10.779660022352573
skeleton,RX2,400,-36.58,2.1079848196796864,11.709058327612988,0.8880537209504118,23.487939812220834,4.691210823325899,0.22648673639930625,0.5056929831732029,0.7886394112938717,0.7886394112938717,0.5091502189165452,0.4545521176549768,0.0078125,0.5989320128479941,4.9160838271617315,5.937828376273355,-3.150605790898063,13.470041710221683
skeleton,RX3,400,-31.12,0.9086253353280437,12.675854723174282,0.9365317824422744,11.055465666374404,3.1851739444539664,0.27071896330134243,0.5768557292054025,0.8770917795245036,0.8770917795245036,0.5127388482254834,0.4510234249339258,0.0078125,0.5616875118640529,5.031209441307054,6.056702376618895,-2.392803251621268,10.115378109421037
skeleton,RX1,500,-43.57,1.3210223313782397,11.920201546594202,0.898063855553636,13.122330546471124,3.5260701810790818,0.2854961572448459,0.5685540398497086,0.806518688651862,0.806518688651862,0.47550385798819655,0.4877489020408196,0.0703125,0.42353028772135354,5.077298968548657,6.057246809351935,-2.7732006141053667,11.669356694709233
skeleton,RX2,500,-36.8,1.9493588689617927,11.78007436758887,1.0755576380527874,23.33169538602657,4.7152414798003415,0.25639142363768086,0.5081539523901848,1.156824232773691,1.156824232773691,0.6384189527760571,0.33222498297569236,0.0078125,0.5673265574357802,4.495883093014811,6.611170390496955,-2.008452910879368,6.371945530491317
skeleton,RX3,500,-31.01,0.9109884741312592,12.795328067302048,0.9798256235247675,13.677458295561166,3.5935170308702205,0.23999842415562117,0.5811909405164803,0.9600582525156995,0.9600582525156995,0.49450985523942975,0.4694319420512745,0.0078125,0.6247262397933321,4.719037901610388,6.499247761628289,-2.888599349150967,12.152177140277056
skeleton,RX1,600,-42.88,1.4851262572589576,12.348509927365345,0.9479048057052898,18.254953903833847,4.130282177618698,0.30965123955615614,0.5716024066198293,0.8985235206791833,0.8985235206791833,0.5120145596387621,0.448438220211276,0.046875,0.49298590609152587,5.1292431787158685,6.337293419581918,-2.715599817223224,11.322117735516967
skeleton,RX2,600,-36.74,1.9422667170087633,12.198177470085886,0.8881864952574589,24.462109779050316,4.820182829675415,0.2286157779956122,0.5330791373391369,0.7888752503577281,0.7888752503577281,0.4610870491519656,0.5010748791643024,0.015625,0.48530503116858975,5.088281602986854,6.139135486286861,-3.1926217867294615,13.670516628265794
skeleton,RX3,600,-31.12,0.9410632284814873,12.947875717513858,1.0415995582720372,12.671638739841365,3.4433212937605298,0.26006528035854143,0.5682257181335989,1.0849296397925032,1.0849296397925032,0.5699355718551784,0.39695996693136526,0.015625,0.5713667629171761,4.7888826344214,7.050251438174817,-2.539645587647243,10.09132563456186
skeleton,RX1,700,-43.0,1.296148139681572,12.120268410833882,0.9412209885741457,14.947021549436831,3.774633665165365,0.3100313694197019,0.5596225273937135,0.8858969493324921,0.8858969493324921,0.4573761005321367,0.4958387433141056,0.0625,0.48542513735615345,5.176331319436711,6.555193772620858,-3.8611976995660005,17.996391568104833
skeleton,RX2,700,-36.55,1.7797471730557686,11.548509328754045,0.9261497132488533,22.55846758722459,4.637733625571812,0.22634960711491164,0.5062736268999838,0.8577532913509336,0.8577532913509336,0.575451606848188,0.39221661957925363,0.015625,0.5531730431727135,4.759299645377803,5.802710857616453,-2.364043906383538,9.212947756594623
skeleton,RX3,700,-30.81,0.7961783719745218,12.340898978542834,0.9834146083240053,8.868133986631602,2.899207321163626,0.2542839617184212,0.5394399426435054,0.967104291865057,0.967104291865057,0.5528476516906031,0.4111760148833806,0.03125,0.5496924734689823,4.870565484948402,6.560319767571793,-2.772750764113915,12.227558402587787
skeleton,RX1,800,-42.38,1.3768079023596573,12.335507526531506,1.1074311975416866,12.133670101383506,3.4170110304601824,0.34880587969745724,0.6064832042807261,1.2264038572886142,1.2264038572886142,0.5989932963793267,0.3665231829077735,0.0078125,0.3777054468093552,4.553164431729733,7.080509435995414,-2.4393880015014973,8.738806383358275
skeleton,RX2,800,-36.3,2.118962010041709,12.081481732658196,0.8427131369665248,20.804580345349404,4.462304649311343,0.22602182332073573,0.5208376890423478,0.7101654312159608,0.7101654312159608,0.4298870819960782,0.5276941598254542,0.0078125,0.5028298787673675,4.9863053846127094,5.822388543547089,-3.816746489775348,17.875510734140597
skeleton,RX3,800,-31.48,0.9846826900072936,12.360227556891797,0.9986465378103514,11.86787378174874,3.3360453548283693,0.23339662344659606,0.5222400046341985,0.9972949074806017,0.9972949074806017,0.5837901339148013,0.38167454646593274,0.03125,0.5759274888548018,4.672446555956155,6.425192181959507,-2.6335214954774493,11.136624109120758
