sample_id,person,video_path,output_csv,status,original_fps,total_video_frames,extracted_rows,detected_rows,failed_rows,detection_rate,error
sujin_fall_normal_09,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_09.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_09_pose.csv,completed,29.99604273842501,379,127,127,0,100.0,
sujin_fall_normal_10,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_10.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_10_pose.csv,completed,29.9961444544403,389,130,130,0,100.0,
sujin_fall_normal_11,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_11.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_11_pose.csv,completed,30.0,378,126,126,0,100.0,
sujin_fall_normal_12,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_12.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_12_pose.csv,completed,29.996760609005506,463,155,155,0,100.0,
sujin_fall_normal_13,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_13.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_13_pose.csv,completed,29.996094258560085,384,128,128,0,100.0,
sujin_fall_normal_14,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_14.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_14_pose.csv,completed,29.99608406213288,383,128,128,0,100.0,
sujin_fall_normal_15,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_15.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_15_pose.csv,completed,29.99607381232823,382,128,127,1,99.21875,
sujin_fall_normal_16,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_16.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_16_pose.csv,completed,30.0,380,127,127,0,100.0,
sujin_fall_stay_down_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_stay_down_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_stay_down_01_pose.csv,completed,29.998348108584327,5448,1816,1810,6,99.66960352422907,
sujin_fall_stay_down_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_stay_down_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_stay_down_02_pose.csv,completed,29.99537108470915,324,108,108,0,100.0,
sujin_fall_stay_down_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_stay_down_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_stay_down_03_pose.csv,completed,30.0,300,100,100,0,100.0,
sujin_fall_stay_down_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_stay_down_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_stay_down_04_pose.csv,completed,30.0,303,101,101,0,100.0,
sujin_fall_stay_down_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_stay_down_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_stay_down_05_pose.csv,completed,29.995000833194467,300,100,100,0,100.0,
sujin_free_activity_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_free_activity_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_free_activity_03_pose.csv,completed,29.99849823960309,8989,2997,2997,0,100.0,
sujin_free_activity_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_free_activity_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_free_activity_normal_01_pose.csv,completed,29.998333425920784,5400,1800,1800,0,100.0,
sujin_free_activity_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_free_activity_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_free_activity_normal_02_pose.csv,completed,29.998336936637287,9019,3007,3007,0,100.0,
sujin_lie_down_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_lie_down_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_lie_down_normal_01_pose.csv,completed,29.998334351229804,5403,1801,1792,9,99.50027762354247,
sujin_pick_up_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_01_pose.csv,completed,29.998334659437855,5404,1802,1802,0,100.0,
sujin_pick_up_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_02_pose.csv,completed,29.998337428186133,5413,1805,1800,5,99.7229916897507,
sujin_pick_up_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_03_pose.csv,completed,30.0,390,130,130,0,100.0,
sujin_pick_up_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_04_pose.csv,completed,29.996011168727563,376,126,126,0,100.0,
sujin_pick_up_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_05_pose.csv,completed,29.99602174777881,377,126,126,0,100.0,
sujin_pick_up_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_06_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_pick_up_normal_07,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_07.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_07_pose.csv,completed,29.99625981797781,401,134,134,0,100.0,
sujin_pick_up_normal_08,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_08.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_08_pose.csv,completed,29.996114492941327,386,129,129,0,100.0,
sujin_pick_up_normal_09,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_09.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_09_pose.csv,completed,29.996114492941327,386,129,129,0,100.0,
sujin_pick_up_normal_10,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_10.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_10_pose.csv,completed,29.995913363302,367,123,123,0,100.0,
sujin_pick_up_normal_11,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_11.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_11_pose.csv,completed,29.996114492941327,386,129,129,0,100.0,
sujin_pick_up_normal_12,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_normal_12.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_normal_12_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_pick_up_variation_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_variation_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_variation_01_pose.csv,completed,29.9983358911303,5408,1803,1802,1,99.94453688297283,
sujin_pick_up_variation_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_variation_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_variation_02_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_pick_up_variation_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_variation_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_variation_03_pose.csv,completed,29.99607381232823,382,128,128,0,100.0,
sujin_pick_up_variation_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_variation_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_variation_04_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_pick_up_variation_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_pick_up_variation_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_pick_up_variation_05_pose.csv,completed,30.0,381,127,127,0,100.0,
sujin_sit_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_01_pose.csv,completed,29.99835625445181,3650,1217,1217,0,100.0,
sujin_sit_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_02_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_sit_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_03_pose.csv,completed,29.99608406213288,383,128,128,0,100.0,
